"","X","sero_pair","mc_st_index_sig","mc_cc_index_sig","mb_st_index_lift","mb_cc_index_lift","total"
"393",393,"23A - 35B",0,1,0,0,1
"394",394,"23A - 38",0,1,0,0,1
"401",401,"23A - 9A",0,1,0,0,1
"407",407,"23B - 42",0,1,0,0,1
"417",417,"23F - 32F",0,1,0,0,1
"437",437,"24F - 35B",0,1,0,0,1
"441",441,"24F - 6E",0,1,0,0,1
"443",443,"24F - 7F",0,1,0,0,1
"448",448,"29 - 35F",0,1,0,0,1
"449",449,"29 - 6E",0,1,0,0,1
"451",451,"3 - 33A",0,1,0,0,1
"455",455,"3 - 37",0,1,0,0,1
"458",458,"3 - 42",0,1,0,0,1
"459",459,"3 - 48",0,1,0,0,1
"464",464,"3 - 7A",0,1,0,0,1
"468",468,"3 - 9A",0,1,0,0,1
"469",469,"3 - 9V",0,1,0,0,1
"471",471,"31 - 8",1,0,0,0,1
"474",474,"33B - 35F",0,1,0,0,1
"475",475,"33B - 6A",0,1,0,0,1
"478",478,"33D - 6A",0,1,0,0,1
"479",479,"33D - 6B",0,1,0,0,1
"485",485,"34 - 37",0,1,0,0,1
"490",490,"34 - 9L",0,1,0,0,1
"491",491,"35A - 35B",0,1,0,0,1
"493",493,"35A - 35F",0,1,0,0,1
"494",494,"35A - 9V",0,1,0,0,1
"501",501,"35B - 7A",0,1,0,0,1
"503",503,"35B - 9A",0,1,0,0,1
"505",505,"35B - 9V",0,1,0,0,1
"506",506,"35C - 35F",0,1,0,0,1
"521",521,"4 - 9N",0,1,0,0,1
"525",525,"42 - 9V",0,1,0,0,1
"528",528,"6A - 6B",0,1,0,0,1
"529",529,"6A - 6C/D",0,1,0,0,1
"530",530,"6A - 6E",0,1,0,0,1
"531",531,"6A - 6F",0,1,0,0,1
"532",532,"6A - 6G",0,1,0,0,1
"537",537,"6B - 6C/D",0,1,0,0,1
"538",538,"6B - 6E",0,1,0,0,1
"539",539,"6B - 6G",0,1,0,0,1
"547",547,"6C/D - 6F",0,1,0,0,1
"557",557,"9N - 9V",0,1,0,0,1
"20",20,"1 - 38",0,0,0,0,0
"23",23,"1 - 5",0,0,0,0,0
"29",29,"10A - 10B",0,0,0,0,0
"67",67,"11A - 15F",0,0,0,0,0
"82",82,"11A - 35A",0,0,0,0,0
"95",95,"11A - 9V",0,0,0,0,0
"102",102,"11C - 9V",0,0,0,0,0
"171",171,"15A - 15F",0,0,0,0,0
"227",227,"15F - 23A",0,0,0,0,0
"229",229,"15F - 3",0,0,0,0,0
"245",245,"17F - 22A",0,0,0,0,0
"259",259,"18B - 18C",0,0,0,0,0
"261",261,"18B - 22F",0,0,0,0,0
"262",262,"18B - 7F",0,0,0,0,0
"263",263,"18C - 18F",0,0,0,0,0
"273",273,"18C - 35A",0,0,0,0,0
"330",330,"19B - 7B/C",0,0,0,0,0
"370",370,"22A - 22F",0,0,0,0,0
"371",371,"22A - 35C",0,0,0,0,0
"376",376,"22F - 24F",0,0,0,0,0
"381",381,"22F - 35C",0,0,0,0,0
"383",383,"22F - 42",0,0,0,0,0
"387",387,"23A - 23B",0,0,0,0,0
"391",391,"23A - 31",0,0,0,0,0
"442",442,"24F - 7B/C",0,0,0,0,0
"446",446,"29 - 35B",0,0,0,0,0
"447",447,"29 - 35C",0,0,0,0,0
"481",481,"33F - 37",0,0,0,0,0
"492",492,"35A - 35C",0,0,0,0,0
"495",495,"35B - 35C",0,0,0,0,0
"507",507,"35C - 42",0,0,0,0,0
"514",514,"38 - 7F",0,0,0,0,0
"554",554,"9A - 9V",0,0,0,0,0
